trees,site,site.code,Gra.gri.v,Ako.dol.v,Cal.mus.v,Mic.aus.v,Dol.pat.v,Lyc.gri.v,Cone.chi.v,Cha.vell.v,Tup.ruf.v,Cte.men.v,Bos.tau.v,Equ.cab.v,Gra.gri.c,Ako.dol.c,Cal.mus.c,Mic.aus.c,Dol.pat.c,Lyc.gri.c,Cone.chi.c,Cha.vell.c,Tup.ruf.c,Cte.men.c,Bos.tau.c,Equ.cab.c,fruit_avail_sp1,fruit_avail_sp2,fruit_avail_sp3,fruit_avail_sp4,Gra.gri,Ako.dol,Cal.mus,Mic.aus,Dol.pat,Lyc.gri,Cone.chi,Cha.vell,Tup.ruf,Cte.men,Bos.tau,Equ.cab
T60,grazed,domenico,0,0,0,69,0,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1380,0,0,0,0,0,0,0,0
T61,grazed,araya,8,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,20,2,2,2,144,0,0,0,0,0,0,0,0,0,0,0
T62,grazed,araya,5,13,0,0,0,0,0,1,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,20,16,0,0,20,208,0,0,0,0,0,0,0,0,0,0
T63,grazed,araya,4,1,0,9,0,0,0,1,2,0,0,0,0,0,0,5,0,0,0,6,9,0,0,0,14,20,9,9,0,0,0,45,0,0,0,6,18,0,0,0
T64,grazed,araya,4,1,0,44,0,0,0,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,20,17,0,0,12,0,0,748,0,0,0,0,0,0,0,0
T65,grazed,araya,40,20,0,2,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,8,20,0,0,320,240,0,0,0,0,0,0,0,0,0,0
T66,grazed,araya,7,4,0,8,0,0,0,0,0,0,0,0,8,1,0,4,0,0,0,0,0,0,0,0,19,20,11,11,56,4,0,32,0,0,0,0,0,0,0,0
T67,grazed,araya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T68,grazed,araya,1,0,0,31,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,20,3,0,0,17,0,0,93,0,0,0,0,0,0,0,0
T69,grazed,araya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T70,grazed,araya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T71,grazed,araya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T72,grazed,araya,4,1,0,86,0,1,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,20,18,0,0,8,0,0,1548,0,0,0,0,0,0,0,0
T73,grazed,araya,13,0,0,2,0,0,1,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,20,4,1,1,208,0,0,6,0,0,0,0,0,0,0,0
T74,grazed,araya,21,12,2,50,0,0,0,2,0,0,0,0,4,1,0,14,0,0,0,1,0,0,0,0,18,20,14,19,84,12,0,700,0,0,0,2,0,0,0,0
T75,grazed,araya,7,0,0,58,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0
T76,grazed,araya,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0
T77,grazed,araya,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,20,1,1,1,0,0,0,0,0,247,0,0,0,0,0,0
T78,grazed,araya,1,0,0,0,0,9,1,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,20,18,1,1,2,0,0,0,0,153,0,0,0,0,0,0
T79,grazed,araya,1,3,0,5,0,8,0,0,1,0,0,0,0,2,0,0,0,18,0,0,0,0,0,0,20,18,0,0,0,6,0,0,0,144,0,0,0,0,0,0
T80,grazed,araya,0,0,0,27,0,0,3,0,0,0,15,0,0,0,0,7,0,0,8,0,0,0,5,0,12,20,5,0,0,0,0,189,0,0,24,0,0,0,75,0
T81,grazed,araya,12,1,0,0,0,0,0,0,0,0,1,0,16,1,0,0,0,0,0,0,0,0,1,0,19,20,3,2,192,1,0,0,0,0,0,0,0,0,1,0
T82,grazed,araya,5,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,20,4,3,3,80,0,0,0,0,2,0,0,0,0,0,0
T83,grazed,araya,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
T84,grazed,araya,4,2,0,0,0,0,0,0,1,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,2,20,1,1,4,36,0,0,0,0,0,0,0,0,0,0
T85,grazed,araya,1,2,0,3,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
T86,grazed,araya,20,0,0,10,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,0,0,20,2,0,0,360,0,0,20,0,0,0,0,0,0,0,0
T87,grazed,araya,6,0,1,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,10,20,5,5,30,0,10,0,0,0,0,0,0,0,0,0
T88,grazed,araya,11,3,0,0,0,2,1,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,2,20,0,0,22,54,0,0,0,0,0,0,0,0,0,0
T89,grazed,araya,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
T90,grazed,araya,13,0,0,34,0,1,0,0,0,0,0,0,10,0,0,8,0,1,0,0,0,0,0,0,20,9,10,1,130,0,0,272,0,1,0,0,0,0,0,0
T91,grazed,bonito,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,20,2,0,0,0,0,0,0,522,2,0,0,0,0,0,0
T92,grazed,bonito,11,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0
T93,grazed,bonito,7,4,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0
T94,grazed,bonito,0,22,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0
T95,grazed,bonito,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,20,11,11,11,0,0,0,0,0,0,9,0,0,0,0,0
T96,grazed,bonito,15,2,0,4,0,0,1,0,4,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,20,12,9,9,120,0,0,0,0,0,0,0,12,0,0,0
T97,grazed,bonito,0,2,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,20,9,2,2,0,22,0,0,0,0,42,0,0,0,0,0
T98,grazed,bonito,0,11,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0
T99,grazed,bonito,0,14,0,50,0,0,2,0,3,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,20,5,0,0,0,210,0,250,0,0,0,0,0,0,0,0
T100,grazed,bonito,25,12,0,55,0,0,0,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,0,0,20,7,0,0,325,0,0,385,0,0,0,0,0,0,0,0
T101,grazed,bonito,30,21,0,6,0,0,2,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,9,20,0,0,270,231,0,0,0,0,0,0,0,0,0,0
T102,grazed,bonito,15,5,0,48,0,0,0,1,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,20,11,0,0,0,45,0,528,0,0,0,0,0,0,0,0
T103,grazed,bonito,0,23,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0
T104,grazed,bonito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T105,grazed,bonito,33,20,0,7,0,0,0,0,0,0,12,0,9,5,0,0,0,0,0,0,0,0,6,0,15,20,6,0,297,100,0,0,0,0,0,0,0,0,72,0
T106,grazed,bonito,20,10,0,43,0,0,1,0,1,0,0,0,7,3,0,10,0,0,0,0,0,0,0,0,17,20,10,0,140,30,0,430,0,0,0,0,0,0,0,0
T107,grazed,bonito,27,3,0,88,0,0,0,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,20,17,0,0,81,0,0,1496,0,0,0,0,0,0,0,0
T108,grazed,bonito,7,4,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0
T109,grazed,bonito,16,21,0,7,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0
T110,grazed,bonito,6,16,0,9,0,0,1,0,0,0,0,0,3,15,0,2,0,0,0,0,0,0,0,0,5,20,2,0,18,240,0,18,0,0,0,0,0,0,0,0
T111,grazed,bonito,7,5,0,0,0,12,6,0,0,0,12,0,1,8,0,0,0,6,5,0,0,0,0,0,7,20,6,12,7,40,0,0,0,72,30,0,0,0,0,0
T112,grazed,bonito,11,0,0,3,0,0,2,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,18,20,0,0,198,0,0,0,0,0,4,0,0,0,0,0
T113,grazed,bonito,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20,16,16,16,0,0,0,56,0,0,0,0,0,0,0,0
T114,grazed,bonito,12,2,0,15,0,0,2,0,0,0,0,0,7,0,0,0,0,0,13,0,0,0,0,0,7,20,0,0,84,0,0,0,0,0,26,0,0,0,0,0
T115,grazed,bonito,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T116,grazed,bonito,6,3,3,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,4,20,0,0,24,48,0,0,0,0,0,0,0,0,0,0
