trees,site,site.code,height,cr.fru,gr.fru,neigh,Pros.neigh,veg.cov.x,veg.cov.sd,bare.cov.x,bare.cov.sd,litt.cov.x,litt.cov.sd,veg.cov.x1,veg.cov.sd1,veg.cov.x2,veg.cov.sd2,veg.cov.x3,veg.cov.sd3,H.shannon,x,y,litt.site,bare.site,low.site,med.site,high.site,x.tran,y.tran,modules
T112,grazed,bonito,450,27,0,7,3,1.04,0.04,0.00,0.00,1.00,0.00,0.24,0.20,0.44,0.32,0.48,0.36,0.47,600964,6218508,0.51,0.49,0.34,0.07,0.17,600928,6219375,A
T113,grazed,bonito,450,0,0,4,3,0.68,0.36,0.37,0.44,0.62,0.48,0.20,0.24,0.36,0.48,0.12,0.16,0.44,600939,6218085,0.51,0.49,0.34,0.07,0.17,600928,6219375,C
T114,grazed,bonito,450,6,0,4,1,1.24,0.60,0.25,0.44,0.75,0.36,0.04,0.08,0.68,0.52,0.44,0.40,0.35,600892,6217762,0.58,0.42,0.33,0.08,0.24,600926,6219322,A
T115,grazed,bonito,450,3,0,5,2,0.44,0.56,0.75,0.44,0.25,0.48,0.00,0.00,0.00,0.00,0.44,0.56,0.00,600849,6217550,0.58,0.42,0.33,0.08,0.24,600926,6219322,NA
T116,grazed,bonito,500,1,0,6,2,0.96,0.20,0.00,0.00,1.00,0.00,0.12,0.16,0.32,0.36,0.48,0.28,0.42,600727,6217250,0.58,0.42,0.33,0.08,0.24,600926,6219322,B
T117,grazed,bonito,400,4,0,6,1,1.12,0.16,0.25,0.48,0.75,0.48,0.08,0.16,0.12,0.16,0.92,0.16,0.25,600541,6217072,0.58,0.42,0.33,0.08,0.24,600926,6219322,A
T118,grazed,bonito,350,8,0,7,2,1.04,0.24,0.00,0.00,1.00,0.00,0.44,0.32,0.64,0.48,0.16,0.20,0.40,600289,6217031,0.58,0.42,0.33,0.08,0.24,600926,6219322,A
T119,grazed,bonito,350,6,0,6,4,1.16,0.40,0.00,0.00,1.00,0.00,0.20,0.28,0.24,0.28,0.76,0.20,0.39,600781,6217118,0.58,0.42,0.33,0.08,0.24,600926,6219322,NA
T120,grazed,bonito,400,20,0,8,2,0.80,0.20,0.00,0.00,1.00,0.00,0.04,0.04,0.96,0.08,0.16,0.24,0.30,601145,6217184,0.58,0.42,0.33,0.08,0.24,600926,6219322,B
T121,ungrazed,protected1,340,5,5,9,1,0.80,0.60,0.60,0.36,0.40,0.32,0.12,0.12,0.08,0.20,0.56,0.52,0.34,599022,6234640,0.70,0.30,0.20,0.11,0.50,598755,6234933,D
